Bokmål,Nynorsk,Engelsk,"Merknad"
skjevsymmetrisk matrise,skeivsymmetrisk matrise,skew-symmetric matrix,
simultantetthet,simultantettleik,joint density,
veisammenhengende,vegsamanhengande,path connected,
utfallsrom,utfallsrom,sample space,
hjørne,hjørne,vertex,
prekompakt,prekompakt,precompact,
risikofunksjon,risikofunksjon,risk function,
skedastisk,skedastisk,scedastic,
underkropp,underkropp,subfield,
lineær regresjon,lineær regresjon,linear regression,
hyperplan,hyperplan,hyperplane,
radikand,radikand,radicand,
determinant,determinant,determinant,
nullvektor,nullvektor,zero vector,
kumulativ frekvens,kumulativ frekvens,cumulative frequency,
godtakingsfeil<br>type II-feil,godtakingsfeil<br>type II-feil,error of second kind<br>false negative,"Begge oversettelsene brukes på norsk, men godtakingsfeil anbefales."
kategori,kategori,category,
randhomomorfi,randhomomorfi,boundary homomorphism,
likhetstegn,likskapsteikn,equality sign,
stokastisk prosess,stokastisk prosess,stochastic process,
estimator,estimator,estimator,
tosidig test,tosidig test,two-sided test,
bivariat fordeling,bivariat fordeling,bivariate distribution,
kofaktor,kofaktor,cofactor,
orientert,orientert,oriented,
partisjon,partisjon,partition,
observator,observator,statistic,"Oversettelsen gjelder bruk i statistikk og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
normalt rom,normalt rom,normal space,
kvotientrom,kvotientrom,quotient space,
F-test,F-test,F-test<br>variance ratio test,
partall,partal,even number,"Partall kan også omtales som like tall (bokmål) og like tal (nynorsk)."
diagonaliserbar,diagonaliserbar,diagonalizable,
jacobimatrise,jacobimatrise,Jacobian matrix,"Jacobimatrise kalles ofte bare <i>Jacobian</i> på engelsk."
bue,boge,arc,
semipositivt bestemt,semipositivt bestemd,positive semidefinite,
ordnet følge,ordna følgje,ordered sequence,
implikasjon,implikasjon,implication,
monoton,monoton,monotone,
derivert,derivert,derivative,
forhold,forhold,ratio,
kardinalitet,kardinalitet,cardinality,
odds,odds,odds,
topologisk ekvivalent,topologisk ekvivalent,topologically equivalent,
reelt tall,reelt tal,real number,
tallkropp,talkropp,number field,
integralligning<br>integrallikning,integrallikning,integral equation,
uendeligdimensjonalt vektorrom,uendelegdimensjonalt vektorrom,infinite-dimensional vector space,
nullobjekt,nullobjekt,zero object,
bilde,bilete,image,
monoide,monoide,monoid,
standardfeil,standardfeil,standard error,
universalegenskap,universaleigenskap,universal property,
kontravariant funktor,kontravariant funktor,contravariant functor,
snitt,snitt,intersection,
projektiv oppløsning,projektiv oppløysing,projective resolution,
heltallsavhengighet,heiltalsavhengnad,integral dependence,
minste kvadraters metode,minste kvadrats metode,method of least squares,
lineærkombinasjon,lineærkombinasjon,linear combination,
konsistent ligningssystem<br>konsistent likningssystem,konsistent likningssystem,consistent system of equations,
gruppehomomorfi,gruppehomomorfi,group homomorphism,
inverterbart ideal,inverterbart ideal,invertible ideal,
kvotientavbildning,kvotientavbilding,quotient map,
ideal,ideal,ideal,
poissonfordeling,poissonfordeling,Poisson distribution,
PDE,PDE,PDE,"Genus bokmål: hankjønn/hunkjønn<br>Genus nynorsk: hunkjønn<br><br>PDE er en forkortelse for partiell differensiallikning og stammer fra <i>partial differential equation</i>."
rekursjonsteori,rekursjonsteori,recursion theory,
deriverbar,deriverbar,differentiable,
overdiagonal,overdiagonal,superdiagonal,
per antakelse,per antaking,by assumption,
sann,sann,true,
gruppevirkning,gruppeverknad,group action,
jordanblokk,jordanblokk,Jordan block,
frihetsgrad,fridomsgrad,degree of freedom,
funktoriell,funktoriell,functorial,
eksakt følge,eksakt følgje,exact sequence,
diskret valuasjon,diskret valuasjon,discrete valuation,
tillatelig relasjon,tillateleg relasjon,admissible relation,
algebraisk,algebraisk,algebraically,"Ordklasse: adverb"
Nakayamas lemma,Nakayamas lemma,Nakayama's lemma,
tilfeldig feil,tilfeldig feil,random error,
singularitet,singularitet,singularity,
isomorfiklasse,isomorfiklasse,isomorphism class,
fangens dilemma,fangedilemmaet,prisoner's dilemma,
spennmengde<br>utspenningsmengde,spennmengd<br>utspenningsmengd,spanning set,
mettet,metta,saturated,
simpleks,simpleks,simplex,
høyreadjungert,høgreadjungert,right adjoint,
helt element,heilt element,integral element,
kobilde,kobilete,coimage,
trivialisering,trivialisering,trivialization,
varietet,varietet,variety,
endeligdimensjonal,endelegdimensjonal,finite-dimensional,
følge,følgje,sequence,
kongruens,kongruens,congruence,
leptokurtisk,leptokurtisk,leptokurtic,
fraktal,fraktal,fractal,
isomorfi,isomorfi,isomorphism,
gruppestruktur,gruppestruktur,group structure,
kvasiregulær,kvasiregulær,quasiregular,
abscisse,abscisse,abscissa,
kjedebrøk,kjedebrøk,continued fraction,
sadelpunkt<br>salpunkt,salpunkt,saddle point,"Begge skrivemåtene brukes på bokmål, men salpunkt anbefales."
varmeligning<br>varmelikning,varmelikning,heat equation,
essensielt surjektiv,essensielt surjektiv,essentially surjective,
tillatelig ideal,tillateleg ideal,admissible ideal,
eksponentielt,eksponentielt,exponentially,"Ordklasse: adverb <br> Uttale: [eksponentsie´lt]"
hermitisk matrise,hermitisk matrise,Hermitian matrix,
kritisk verdi,kritisk verdi,critical value,
mangekant<br>polygon,mangekant<br>polygon,polygon,
radrom,radrom,row space,
opphopningspunkt,opphopingspunkt,accumulation point,
simplisialkompleks,simplisialkompleks,simplicial complex,
kompakt-åpen-topologi,kompakt-open-topologi,compact-open topology,
sylowteorem,sylowteorem,Sylow theorem,
motsigelse,motseiing,contradiction,
transposisjon,transposisjon,transposition,
velordning,velordning,well-ordering,
projektiv varietet,projektiv varietet,projective variety,
seksjon,seksjon,section,
antipode,antipode,antipode,"Synonym: antipodalt punkt"
affin algebraisk varietet,affin algebraisk varietet,affine algebraic variety,
fundamentalperiode,fundamentalperiode,fundamental period,
spiss vinkel,spiss vinkel,acute angle,
diffusjon,diffusjon,diffusion,
unær,unær,unary,
underrepresentasjon,underrepresentasjon,subrepresentation,
kovariant funktor,kovariant funktor,covariant functor,
distribusjon,distribusjon,distribution,
preabelsk kategori,preabelsk kategori,preabelian category,
tredjerot,tredjerot,cube root,
forkastningsnivå<br>signifikansnivå,forkastingsnivå<br>signifikansnivå,level of significance<br>significance level,
ligningssystem<br>likningssystem,likningssystem,system of equations,
hyperboloide,hyperboloide,hyperboloid,
orientering,orientering,orientation,
basiselement,basiselement,basis element,"De engelske termene <i>base</i> og <i>basis</i> brukes ikke helt synonymt. For eksempel vil <i>base</i> foretrekkes i topologi, mens <i>basis</i> brukes i lineær algebra. Merk at begge oversettes til basis på norsk."
Diracs deltafunksjon,Diracs deltafunksjon, Dirac's delta function,
standardavvik,standardavvik,standard deviation,
