Bokmål,Nynorsk,Engelsk,"Merknad"
topologisk ring,topologisk ring,topological ring,
periferivinkel,periferivinkel,inscribed angle,
injektiv oppløsning,injektiv oppløysing,injective resolution,
vendepunkt,vendepunkt,inflection point,
ordnet par,ordna par,ordered pair,
affin varietet,affin varietet,affine variety,
bayesiansk,bayesiansk,Bayesian,
symmetrisk matrise,symmetrisk matrise,symmetric matrix,
projektivt dekke,projektivt dekke,projective cover,
ikke-isomorf,ikkje-isomorf,non-isomorphic,
kumulativ,kumulativ,cumulative,
konvergent,konvergent,convergent,
cosinus,cosinus,cosine,
faktorring,faktorring,factor ring,"Synonym: kvotientring"
algebraisk tallkropp,algebraisk talkropp,algebraic number field,
punktestimering,punktestimering,point estimation,
partiellderivert,partiellderivert,partial derivative,
punktvis,punktvis,pointwise,
maksimalt ideal,maksimalt ideal,maximal ideal,
lokalt sammenhengende,lokalt samanhengande,locally connected,
endeligdimensjonalt vektorrom,endelegdimensjonalt vektorrom,finite-dimensional vector space,
klasseintervall,klasseintervall,class interval,
essensiell undermodul,essensiell undermodul,essential submodule,
zariskitopologi,zariskitopologi,Zariski topology,
godtakingsområde,godtakingsområde,acceptance region,
feil,feil,error,
understokastisk,understokastisk,substochastic,
slangelemmaet,slangelemmaet,snake lemma,
Jordan-Hölder-teoremet,Jordan-Hölder-teoremet,Jordan–Hölder theorem,
Cauchy-Riemann-ligningene<br>Cauchy-Riemann-likningene,Cauchy-Riemann-likningane,Cauchy–Riemann equations,
triagonalisere,triagonalisere,triagonalize,
odde funksjon,odde funksjon,odd function,
ekte undermodul,ekte undermodul,proper submodule,
diffeomorfi,diffeomorfi,diffeomorphism,
kolonne<br>søyle,kolonne<br>søyle,column,
modul,modul,module,
tilnærmet,tilnærma,approximately,
multiplikasjonsregel,multiplikasjonsregel,multiplication rule,
koenhet,koeining,counit,
jevnt dekket,jamt dekt,evenly covered,
primærdekomposisjon,primærdekomposisjon,primary decomposition,
PID,PID,PID,"Genus: intetkjønn<br><br>PID er en forkortelse for hovedidealområde (bokmål) og hovudidealområde (nynorsk) og stammer fra <i>principal ideal domain</i>."
arvelig kategori<br>hereditær kategori,arveleg kategori<br>hereditær kategori,hereditary category,
multivariat fordeling,multivariat fordeling,multivariate distribution,
blokkmatrise,blokkmatrise,block matrix,
semilokalt enkeltsammenhengende,semilokalt enkeltsamanhengande,semilocally simply connected,
endeliggenerert,endeleggenerert,finitely generated,
bilineær form,bilineær form,bilinear form,
homoskedastisk,homoskedastisk,homoscedastic,
valuasjon,valuasjon,valuation,
analytisk,analytisk,analytic,
rasjonal funksjon,rasjonal funksjon,rational function,
maksimum,maksimum,maximum,
komplettering,komplettering,completion,
Students t-forhold,Students t-forhold,Student's t-ratio,
komplekst tall,komplekst tal,complex number,
gaussisk,gaussisk,Gaussian,
grensepunktkompakt,grensepunktkompakt,limit point compact,
dimensjonsskift,dimensjonsskift,dimension shift,
potensrekkering,potensrekkjering,ring of formal power series,
filtrering,filtrering,filtration,
proporsjon,proporsjon,proportion,
rottesten,rottesten,root test,
middelverdisetningen<br>sekantsetningen,middelverdisetninga<br>sekantsetninga,mean value theorem,
flat modul,flat modul,flat module,
valuasjonsring,valuasjonsring,valuation ring,
estimat,estimat,estimate,
delfølge,delfølgje,subsequence,
køteori,køteori,queuing theory,
bruddent ideal<br>brøkideal,brote ideal<br>brøkideal,fractional ideal,
ekstremalpunkt,ekstremalpunkt,extremum,
irredusibelt ideal,irredusibelt ideal,irreducible ideal,
modulær form,modulær form,modular form,
uniform kontinuitet,uniform kontinuitet,uniform continuity,
naturlig isomorfi,naturleg isomorfi,natural isomorphism,
heltallsområde<br>integritetsområde,heiltalsområde<br>integritetsområde,integral domain,"Begge oversettelsene brukes på norsk, men heltallsområde (bokmål) og heiltalsområde (nynorsk) anbefales."
Schurs lemma,Schurs lemma,Schur's lemma,
forfining,forfining,refinement,
norm,norm,norm,
taylorpolynom,taylorpolynom,Taylor polynomial,
parallellogram,parallellogram,parallelogram,
orienterbarhet,orienterbarheit,orientability,
overdekningsrom,overdekkingsrom,covering space,
trekantulikhet,trekantulikskap,triangle inequality,
høyremodul,høgremodul,right module,
konfidensnivå,konfidensnivå,confidence level,
vektorfelt,vektorfelt,vector field,
oskulerende plan<br>smygplan,oskulerande plan<br>smygplan,osculating plane,
parabel,parabel,parabola,
bestemt integral,bestemt integral,definite integral,
binomisk,binomisk,binomial,"Ordklasse: adjektiv"
koherent,koherent,coherent,
retraksjon,retraksjon,retraction,
komplementær,komplementær,complementary,
metrikk,metrikk,metric,"Ordklasse: substantiv"
andrederivert,andrederivert,second derivative,
representasjon,representasjon,representation,
primspekter,primspekter,prime spectrum,
radian,radian,radian,
maksimal undergruppe,maksimal undergruppe,maximal subgroup,
suspensjon,suspensjon,suspension,
grenseverdi,grenseverdi,limit,
overbestemt ligningssystem<br>overbestemt likningssystem,overbestemt likningssystem,overdetermined system of equations,
gradert modul,gradert modul,graded module,
randbetingelse,randvilkår,boundary condition,
virrevandring,virrevandring,random walk,
nullmengde,nullmengd,null set,
singulært kompleks,singulært kompleks,singular complex,
homologigruppe,homologigruppe,homology group,
utlede,utleie,derive,
minste øvre skranke,minste øvre skranke,least upper bound,
gruppering,gruppering,group ring,
semisimpel algebra,semisimpel algebra,semisimple algebra,
linje,linje,line,
divergere,divergere,diverge,
ekte inklusjon<br>streng inklusjon,ekte inklusjon<br>streng inklusjon,strict inclusion,
kurtose,kurtose,kurtosis,
essensiell epimorfi,essensiell epimorfi,essential epimorphism,
p-gruppe,p-gruppe,p-group,
dobbeltintegral,dobbelintegral,double integral,
barysentriske koordinater,barysentriske koordinatar,barycentric coordinates,
unæroperasjon,unæroperasjon,unary operation,
strengt voksende,strengt veksande,stricly increasing,
skjev fordeling,skeiv fordeling,skewed distribution,
uavhengighet,uavhengnad,independence,
hessematrise,hessematrise,Hessian matrix,"Hessematrise kalles ofte bare <i>Hessian</i> på engelsk."
alternerende,alternerande,alternating,
ekvivalensrelasjon,ekvivalensrelasjon,equivalence relation,
blokkdelt matrise,blokkdelt matrise,partitioned matrix,
hessedeterminant,hessedeterminant,Hessian determinant,"Hessedeterminant kalles ofte bare <i>Hessian</i> på engelsk."
lineær modell,lineær modell,linear model,
potensfunksjon,potensfunksjon,power function,
spekter<br>spektrum,spekter<br>spektrum,spectrum,
reflektert brownsk bevegelse,reflektert brownsk rørsle, reflected Brownian motion,
nullitet,nullitet,nullity,
hypotesetest,hypotesetest,test of hypothesis,
lukket,lukka,closed,
kime,kime,germ,
differensial,differensial,differential,
variabel,variabel,variable,
fornyelsesteori,fornyingsteori,renewal theory,
pivotelement,pivotelement,pivot element,"Forstavelsen pivot uttales [pivå:’]."
stokastisk variabel<br>tilfeldig variabel,stokastisk variabel<br>tilfeldig variabel,random variable<br>stochastic variable,
reduktiv liegruppe,reduktiv liegruppe,reductive Lie group,
derivert kategori,derivert kategori,derived category,
tak,tak,roof,
diskontinuerlig,diskontinuerleg,discontinuous,
yonedalemmaet,yonedalemmaet,Yoneda lemma,
triviell,triviell,trivial,
geometrisk fordeling,geometrisk fordeling,geometric distribution,
utvalgsstørrelse,utvalsstorleik,sample size,
ekte undergruppe,ekte undergruppe,proper subgroup,
sammensatt tall,samansett tal,composite number,
spredning,spreiing,dispersion,
ikke-euklidsk,ikkje-euklidsk,non-Euclidean,
tallteori,talteori,number theory,
irredusibelt polynom,irredusibelt polynom,irreducible polynomial,
bokstopologi,bokstopologi,box topology,
voksende,veksande,increasing,
polyeder,polyeder,polyhedron,
hesteskolemmaet,hesteskolemmaet,horseshoe lemma,
union,union,union,
disjunkt,disjunkt,disjoint,
andregradsligning<br>andregradslikning,andregradslikning,quadratic equation,
underkategori,underkategori,subcategory,
modulhomomorfi,modulhomomorfi,module homomorphism,
tetraeder,tetraeder,tetrahedron,
tom,tom,empty,
imbedding,imbedding,embedding,
markovprosess,markovprosess,Markov process,
markovkjede,markovkjede,Markov chain,
rand,rand,boundary,
primtall,primtal,prime<br>prime number,
Cohen-Macaulay-modul,Cohen-Macaulay-modul,Cohen–Macaulay module,
konjugert,konjugert,conjugate,"Ordklasse: adjektiv"
iterasjon,iterasjon,iteration,
inverst system,inverst system,inverse system,
sammenslått,samanslege,pooled,"Oversettelsen gjelder bruk i statistikk og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
utspenne,utspenne,span,"Ordklasse: verb"
variasjonsbredde,variasjonsbreidd,range,"Oversettelsen gjelder bruk i statistikk og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
injektivt objekt,injektivt objekt,injective object,
primideal,primideal,prime ideal,
uavhengig,uavhengig,independent,
kurvetilpasning<br>regresjonsanalyse,kurvetilpassing<br>regresjonsanalyse,regression analysis,
integralkurve,integralkurve,integral curve,
inversbilde,inversbilete,inverse image,
brownsk bevegelse,brownsk rørsle,Brownian motion,
sammentrekkbar,samantrekkbar,contractible,
gruppealgebra,gruppealgebra,group algebra,
basiselement,basiselement,base element,"De engelske termene <i>base</i> og <i>basis</i> brukes ikke helt synonymt. For eksempel vil <i>base</i> foretrekkes i topologi, mens <i>basis</i> brukes i lineær algebra. Merk at begge oversettes til basis på norsk."
euklidsk område,euklidsk område,Euclidean domain,
semisimpel modul,semisimpel modul,semisimple module,
filter,filter,filter,
nedre skranke,nedre skranke,lower bound,
refleksiv,refleksiv,reflexive,
kontinuerlig,kontinuerleg,continuous,
kongruensrelasjon,kongruensrelasjon,congruence relation,
algebraisk struktur,algebraisk struktur,algebraic structure,
tilstøtende,tilstøytande,adjoining,
kolonnerom<br>søylerom,kolonnerom<br>søylerom,column space,
generalisert sannsynlighetsforhold,generalisert sannsynsforhold,generalized likelihood ratio,
ringhomomorfi,ringhomomorfi,ring homomorphism,
tallinje,tallinje,real line,
radvektor,radvektor,row vector,
forkastningsfeil<br>type I-feil,forkastingsfeil<br>type I-feil,error of first kind<br>false positive,"Begge oversettelsene brukes på norsk, men forkastningsfeil (bokmål) og forkastingsfeil (nynorsk) anbefales."
forventningsrett,forventingsrett,unbiased,"Ordklasse: adjektiv"
heksaeder,heksaeder,hexahedron,
høyrekoherent,høgrekoherent,right coherent,
vektor,vektor,vector,
hyperbel,hyperbel,hyperbola,
imaginær enhet,imaginær eining,imaginary unit,
radoperasjon,radoperasjon,row operation,
heliks,heliks,helix,
kubisk,kubisk,cubic,
gradskivepostulatet<br>vinkelmålspostulatet,gradskivepostulatet<br>vinkelmålspostulatet,protractor postulate,
beregnbar,bereknbar,computable,
gjennomsnittsavvik,gjennomsnittsavvik,mean deviation,
orienterbar,orienterbar,orientable,
teller,teljar,numerator,
krumning,krumming,curvature,
kinesisk restteorem,kinesisk restteorem,Chinese remainder theorem,
orebetingelsen,orevilkåret,Ore condition,
minste felles multiplum,minste felles multiplum,least common multiple,
syzygi,syzygi,syzygy,"Uttale: [sytsygi:´]"
binomisk sannsynlighetsfordeling,binomisk sannsynsfordeling,binomial probability distribution,
middelkvadrat,middelkvadrat,mean square,
dualitet,dualitet,duality,
imaginær,imaginær,imaginary,
polynomring,polynomring,polynomial ring,
kartesiske koordinater,kartesiske koordinatar,Cartesian coordinates,
permutasjon,permutasjon,permutation,
deformasjonsretraksjon,deformasjonsretraksjon,deformation retraction,
vinkel,vinkel,angle,
eksponentialregresjon<br>eksponentiell regresjon,eksponentialregresjon<br>eksponentiell regresjon,exponential regression,
ekstremalverdi,ekstremalverdi,extremum,
representativt utvalg,representativt utval,representative sample,
gausseliminasjon,gausseliminasjon,Gaussian elimination,
parabolsk,parabolsk,parabolic,
abelsk gruppe,abelsk gruppe,abelian group,
eksponentialfunksjon,eksponentialfunksjon,exponential function,
funktor,funktor,functor,
multiplikativ delmengde,multiplikativ delmengd,multiplicative subset,
sannsynlighetstetthet,sannsynstettleik,probability density function,
seminegativt bestemt,seminegativt bestemd,negative semidefinite,
heterogen,heterogen,heterogeneous,
semisimpel,semisimpel,semisimple,
adjungert,adjungert,adjoint,
krulldimensjon,krulldimensjon,Krull dimension,
binær,binær,binary,
hyppighet<br>relativ frekvens,hyppigheit<br>relativ frekvens,relative frequency,
tangentplan,tangentplan,tangent plane,
algebra,algebra,algebra,
adjunksjonsrom<br>pålimingsrom,adjunksjonsrom<br>pålimingsrom,attaching space,
seminorm,seminorm,seminorm,
statistikk,statistikk,statistics,
annihilere,annihilere,annihilate,
ortogonal idempotent,ortogonal idempotent,orthogonal idempotent,
dodekaeder,dodekaeder,dodecahedron,
derivert funktor,derivert funktor,derived functor,
venstremodul,venstremodul,left module,
randoperator,randoperator,boundary operator,
normaltilnærming,normaltilnærming,normal approximation,
enhetsgruppe,einingsgruppe,group of units,
sokkel,sokkel,socle,
diskret,diskret,discrete,
totalkompleks,totalkompleks,total complex,
nabovinkler,nabovinklar,linear pair,
fritt produkt,fritt produkt,free product,
periodisk funksjon,periodisk funksjon,periodic function,
delvis ordnet mengde,delvis ordna mengd,partially ordered set,"Delvis ordnet mengde forkortes ofte til pomengde (bokmål) og pomengd (nynorsk)."
prosentil,prosentil,percentile,"Både persentil og percentil forekommer også i bruk på norsk, men prosentil anbefales."
delvis integrasjon,delvis integrasjon,integration by parts,
univariat fordeling,univariat fordeling,univariate distribution,
underkompleks,underkompleks,subcomplex,
singulær homologi,singulær homologi,singular homology,
projeksjonsavbildning,projeksjonsavbilding,projection map,
sum,sum,sum,
underrom,underrom,subspace,
korollar,korollar,corollary,
innskrevet sirkel,innskriven sirkel,inscribed circle,
konfidensintervall,konfidensintervall,confidence interval,
høyreideal,høgreideal,right ideal,
minimumvariansestimator,minimumvariansestimator,minimum variance estimator,
transendent tall,transendent tal,transcendental number,
produkttopologi,produkttopologi,product topology,
fundamentalgruppe,fundamentalgruppe,fundamental group,
projisere,projisere,project,
kartesisk koordinatsystem,kartesisk koordinatsystem,Cartesian coordinate system,
hyperflate,hyperflate,hypersurface,
homotopiinvers,homotopiinvers,homotopy inverse,
affin,affin,affine,
rot,rot,root,
binæroperasjon,binæroperasjon,binary operation,
integraltransformasjon,integraltransformasjon,integral transform,
prinsipalverdi,prinsipalverdi,principal value,
lengde,lengd,length,
normalfordeling,normalfordeling,normal distribution,
diagonalisere,diagonalisere,diagonalize,
wronskideterminant,wronskideterminant,Wronski determinant,"Wronskideterminant kalles ofte bare <i>Wronskian</i> på engelsk."
fullstendig regulært rom,fullstendig regulært rom,completely regular space,
enhetsvektor,einingsvektor,unit vector,
interferens,interferens,interference,
logaritmisk regresjon,logaritmisk regresjon,logarithmic regression,
overdekningsavbildning,overdekkingsavbilding,covering map,
likesidet trekant,likesida trekant,equilateral triangle,
lineær,lineær,linear,
små talls lov,lova om små tal,law of small numbers,
pseudoinvers,pseudoinvers,pseudoinverse,
simpel gruppe,simpel gruppe,simple group,
normert,normert,normed,
projektivt objekt,projektivt objekt,projective object,
koeffisientmatrise,koeffisientmatrise,coefficient matrix,
surjektiv,surjektiv,surjective,"Synonym: på"
biprodukt,biprodukt,biproduct,
betinget forventning,vilkårsbunden forventing,conditional expectation,
homotopiekvivalens,homotopiekvivalens,homotopy equivalence,
simultant kontinuerlig,simultant kontinuerleg,jointly continuous,
bane,bane,orbit,
marginal,marginal,marginal,
funktoriell egenskap,funktoriell eigenskap,functorial property,
variansanalyse,variansanalyse,analysis of variance<br>variance analysis,"Variansanalyse forkortes ofte til ANOVA."
ikke-nullelement,ikkje-nullelement,non-zero element,
betinget konvergens,vilkårsbunden konvergens,conditional convergence,
forkastningsområde,forkastingsområde,critical region,
algoritme,algoritme,algorithm,
totalrom,totalrom,total space,
kofaktorutvikling,kofaktorutvikling,cofactor expansion,
realdel,realdel,real part,
skalar,skalar,scalar,
identitet,identitet,identity,
cellekompleks,cellekompleks,cell complex,
forbindelsesgeometri,forbindelsesgeometri,incidence geometry,
substitusjon,substitusjon,substitution,
torsjon,torsjon,torsion,
matrise,matrise,matrix,
samling,samling,collection,
p-adisk heltall,p-adisk heiltal,p-adic integer,
kryssprodukt,kryssprodukt,cross product<br>vector product,
beregnbarhet,bereknbarheit,computability,
delhypotese,delhypotese,subhypothesis,
stokastisk variabel,stokastisk variabel,stochastic variable,
transendent funksjon,transendent funksjon,transcendental function,
invers,invers,inverse,
glidespeiling,glidespegling,glide reflection,
induktiv,induktiv,inductive,
diskret topologi,diskret topologi,discrete topology,
matrise<br>tabell,matrise<br>tabell,array,
statistisk signifikant,statistisk signifikant,statistically significant,
tosidig,tosidig,two-sided,
ensidig,einsidig,one-sided,
bunt,bunt,bundle,
uniformt kontinuerlig,uniformt kontinuerleg,uniformly continuous,
konnektiv,konnektiv,connective,
amplitude,amplitude,amplitude,
bijektiv,bijektiv,bijective,
hovedidealområde,hovudidealområde,principal ideal domain,"Hovedidealområde forkortes ofte til PID."
polarform,polarform,polar form,
ikosaeder,ikosaeder,icosahedron,
derivasjon,derivasjon,derivation,"De engelske termene <i>derivation</i> og <i>differentiation</i> er ikke synonymer, selv om begge oversettes til det samme på norsk. En derivasjon er en en lineæravbildning som tilfredsstiller Leibniz' regel."
motsatt kategori,motsett kategori,opposite category,
analytisk funksjon,analytisk funksjon,analytic function,
fourierkoeffisient,fourierkoeffisient,Fourier coefficient,
gaussfordeling<br>normalfordeling,gaussfordeling<br>normalfordeling,Gaussian distribution<br>normal distribution,
gradert,gradert,graded,
algebraisk gruppe,algebraisk gruppe,algebraic group,
homotopigruppe,homotopigruppe,homotopy group,
midtnormal,midtnormal,perpendicular bisector,
fraktil,fraktil,fractile,
kube,kube,cube,
bølgeligning<br>bølgelikning,bølgjelikning,wave equation,
irredusibelt element,irredusibelt element,irreducible element,
frekvens,frekvens,frequency,
kjeglesnitt,kjeglesnitt,conic section,
riemannhypotesen,riemannhypotesen,Riemann hypothesis,
ulikhet,ulikskap,inequality,
numerisk,numerisk,numerical,
lukket avbildning,lukka avbilding,closed map,
tillukning,tillukking,closure,
bilineær,bilineær,bilinear,
torsjonsundermodul,torsjonsundermodul,torsion submodule,
divisjonsalgebra,divisjonsalgebra,division algebra,
venstreeksakt,venstreeksakt,left exact,
sentral idempotent,sentral idempotent,central idempotent,
fortegn,forteikn,sign,
omsenter,omsenter,circumcentre,
kant,kant,edge,
homologi,homologi,homology,
Bayes' setning<br>Bayes' teorem,Bayes' setning<br>Bayes' teorem,Bayes' theorem,
kogger,kogger,quiver,
sannhetstabell,sanningstabell,truth table,
proposisjon<br>utsagn,proposisjon<br>utsegn,proposition,
uttrykk,uttrykk,expression,
semilokal ring,semilokal ring,semi-local ring,
homotopi,homotopi,homotopy,
abelsk,abelsk,abelian,
topologi,topologi,topology,
Eisensteins kriterium,Eisensteins kriterium,Eisenstein’s criterion,
kompakthet,kompaktheit,compactness,
brøkring,brøkring,ring of fractions,
parakompakt,parakompakt,paracompact,
matrisering,matrisering,matrix ring,
toutvalgstest,toutvalstest,two-sample test,
infimum,infimum,infimum,
binomialformelen,binomialformelen,binomial formula,
endelig kropp,endeleg kropp,finite field,
divergent,divergent,divergent,
Fittings lemma,Fittings lemma,Fitting's lemma,
lokal egenskap,lokal eigenskap,local property,
tredjegradspolynom,tredjegradspolynom,cubic polynomial,
sinuslignende<br>sinusliknende,sinusliknande,sinusoidal,
splittmonomorfi,splittmonomorfi,split monomorphism,
hypotese,hypotese,hypothesis,
minor,minor,minor,
imaginært tall,imaginært tal,imaginary number,
stokastisk uavhengig,stokastisk uavhengig,stochastically independent,
total brøkring,total brøkring,total ring of fractions,
homotop,homotop,homotopic,
integrere,integrere,integrate,
sammenføyningshomomorfi,samanføyingshomomorfi,connecting homomorphism,
avgjørbarhet,avgjerbarheit,decidability,
karakteristisk polynom,karakteristisk polynom,characteristic polynomial,
kjedebetingelse,kjedevilkår,chain condition,
rekke,rekkje,series,
torsjonselement,torsjonselement,torsion element,
heltall,heiltal,integer,
inkonsistent ligningssystem<br>inkonsistent likningssystem,inkonsistent likningssystem,inconsistent system of equations,
koszulkompleks,koszulkompleks,Koszul complex,
kommutativ ring,kommutativ ring,commutative ring,
stokastisk,stokastisk,stochastic,
vilkårlig,vilkårleg,arbitrary,
delbrøk,delbrøk,partial fraction,
funksjonalanalyse,funksjonalanalyse,functional analysis,
metrisk,metrisk,metric,"Ordklasse: adjektiv"
nullmodul,nullmodul,zero module,
samtidig<br>simultan,samtidig<br>simultan,simultaneous,
boltzmannfordeling,boltzmannfordeling, Boltzmann distribution,
approksimasjon<br>tilnærming,approksimasjon<br>tilnærming,approximation,
eksponent,eksponent,exponent,
totalderivert funktor,totalderivert funktor,total derived functor,
hel funksjon,heil funksjon,entire function,
flyt,flyt,flow,
normalvektor,normalvektor,normal vector,
venstreinverterbar,venstreinverterbar,left invertible,
arvelig algebra<br>hereditær algebra,arveleg algebra<br>hereditær algebra,hereditary algebra,
hovedideal,hovudideal,principal ideal,
avbilde,avbilde,map,"Ordklasse: verb"
sannsynlighetsteori,sannsynsteori,probability theory,
sannsynlighetsfordeling,sannsynsfordeling,probability distribution,
permutasjonsmatrise,permutasjonsmatrise,permutation matrix,
dualrom,dualrom,dual space,
dobbeltkompleks,dobbelkompleks,double complex,
sammenhengende,samanhengande,connected,
innsenter,innsenter,incentre,
semisimpel ring,semisimpel ring,semisimple ring,
delmengde,delmengd,subset,
simpel undergruppe,simpel undergruppe,simple subgroup,
kontinuitet,kontinuitet,continuity,
poincarérekke,poincarérekkje,Poincaré series,
metamatematikk,metamatematikk,metamathematics,
store talls lov,lova om store tal,law of large numbers,
lebesgueintegral,lebesgueintegral,Lebesgue integral,
distributiv,distributiv,distributive,
sannsynlighet,sannsyn,probability,
avhengighet,avhengnad,dependence,
multiplisitet,multiplisitet,multiplicity,
dimensjon,dimensjon,dimension,
modulær gruppering,modulær gruppering,modular group ring,
aksiom,aksiom,axiom,
åpen avbildning,open avbilding,open map,
sykel,sykel,cycle,
underbasis,underbasis,subbase,"De engelske termene <i>base</i> og <i>basis</i> brukes ikke helt synonymt. For eksempel vil <i>base</i> foretrekkes i topologi, mens <i>basis</i> brukes i lineær algebra. Merk at begge oversettes til basis på norsk."
element,element,element,
blokkdiagonal matrise,blokkdiagonal matrise,block diagonal matrix,
tuppel,tuppel,tuple,
kjede,kjede,chain,
felt,felt,field,"Merk at oversettelsen av <i>field</i> er avhengig av kontekst. Oversettelsen felt brukes for eksempel i forbindelse med vektorfelt."
faktor,faktor,factor,
radikal,radikal,radical,
epimorfi,epimorfi,epimorphism,
ettutvalgstest,eittutvalstest,one-sample test,
tangentvektor,tangentvektor,tangent vector,
minimalt primideal,minimalt primideal,minimal prime ideal,
fouriertransformasjon,fouriertransformasjon,Fourier transform,
gradient,gradient,gradient,
taylorrekke,taylorrekkje,Taylor series,
egenfunksjon,eigenfunksjon,eigenfunction,
t-test,t-test,t-test,
gammafordeling,gammafordeling,gamma distribution,
basis,basis,base,"De engelske termene <i>base</i> og <i>basis</i> brukes ikke helt synonymt. For eksempel vil <i>base</i> foretrekkes i topologi, mens <i>basis</i> brukes i lineær algebra. Merk at begge oversettes til basis på norsk."
største felles faktor,største felles faktor,greatest common factor,"Synonym: største felles divisor"
rekurrens,rekurrens,recurrence,
gruppoide,gruppoide,groupoid,
venstreideal,venstreideal,left ideal,
naturlig tall,naturleg tal,natural number,
stykkevis kontinuerlig,stykkevis kontinuerleg,piecewise continuous,
assosiert primideal,assosiert primideal,associated prime,
største nedre skranke,største nedre skranke,greatest lower bound,
multinomisk fordeling,multinomisk fordeling,multinomial distribution,
punkt,punkt,point,
modalverdi<br>typetall,modalverdi<br>typetal,mode,"Oversettelsen gjelder bruk i statistikk og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger. Typetall (bokmål) og typetal (nynorsk) anbefales."
splittepimorfi,splittepimorfi,split epimorphism,
negativt bestemt,negativt bestemd,negative definite,
ubestemt integral,ubestemt integral,indefinite integral,
vinkelhalveringsstråle,vinkelhalveringsstråle,angle bisector,
undermodul,undermodul,submodule,
akse,akse,axis,
veialgebra,vegalgebra,path algebra,
identifisere,identifisere,identify,
simpel undermodul,simpel undermodul,simple submodule,
egenvektor,eigenvektor,eigenvector,
ordinat,ordinat,ordinate,
venstreadjungert funktor,venstreadjungert funktor,left adjoint functor,
Kleins firergruppe,Kleins firergruppe,Klein four-group,
skaleringsegenskap,skaleringseigenskap,scaling property,
invariant,invariant,invariant,
alternativ hypotese,alternativ hypotese,alternative hypothesis,
prediksjon,prediksjon,prediction,
sannsynlighetsmaksimeringsestimator,sannsynsmaksimeringsestimator,maximum likelihood estimator,
projektivt rom,projektivt rom,projective space,
kjerne,kjerne,kernel,
lokal ring,lokal ring,local ring,
lokalisering,lokalisering,localization,
singulær,singulær,singular,
endelig gruppe,endeleg gruppe,finite group,
khikvadratfordeling,khikvadratfordeling,chi-squared distribution,
potensmodell,potensmodell,power model,
buelengde,bogelengd,arclength,
produkt,produkt,product,
ODE,ODE,ODE,"Genus bokmål: hankjønn/hunkjønn<br>Genus nynorsk: hunkjønn<br><br>ODE er en forkortelse for ordinær differensiallikning og stammer fra <i>ordinary differential equation</i>."
grensepunkt,grensepunkt,limit point,
kvadrat,kvadrat,square,
elliptisk,elliptisk,elliptic,
styrelinje,styrelinje,directrix,
mengdefunksjon,mengdefunksjon,set function,
Cramers regel,Cramers regel,Cramer's rule,
gorensteinring,gorensteinring,Gorenstein ring,
sylowteori,sylowteori,Sylow theory,
selvadjungert,sjølvadjungert,self-adjoint,
symmetrisk,symmetrisk,symmetric,
gruppeskjema,gruppeskjema,group scheme,
algebraisk utvidelse,algebraisk utviding,algebraic extension,
tensorprodukt,tensorprodukt,tensor product,
radiell,radiell,radial,
elementærtensor,elementærtensor,elementary tensor,
faktormodul,faktormodul,factor module,"Synonym: kvotientmodul"
polarkoordinater,polarkoordinatar,polar coordinates,
Artin-Rees-lemmaet,Artin-Rees-lemmaet,Artin–Rees lemma,
induksjon,induksjon,induction,
sinusrekke,sinusrekkje,sine series,
asymptote,asymptote,asymptote,
teorem,teorem,theorem,
helavsluttet<br>heltallslukket,heilavslutta<br>heiltalslukka,integrally closed,
andel,del,proportion,
totalt begrenset,totalt avgrensa,totally bounded,
triagonaliserbar,triagonaliserbar,triagonalizable,
meromorf,meromorf,meromorphic,
khikvadrat,khikvadrat,chi-squared,
standard gammafordeling,standard gammafordeling,standard gamma distribution,
rekursiv,rekursiv,recursive,
tosidig ideal,tosidig ideal,two-sided ideal,
koprodukt,koprodukt,coproduct,
negativ binomialfordeling,negativ binomialfordeling,negative binomial distribution,
redusert trappeform,redusert trappeform,reduced row echelon form,
kovarians,kovarians,covariance,
CW-kompleks,CW-kompleks,CW complex,
speiling,spegling,reflection,
disjunksjon,disjunksjon,disjunction,
lineær form,lineær form,linear form,
radius,radius,radius,
stigningstall,stigingstal,slope,
basisrom,basisrom,base space,
utledning,utleiing,derivation,
inklusjonsavbildning,inklusjonsavbilding,inclusion map,
konvergere,konvergere,converge,
nevner,nemnar,denominator,
komposisjonsrekke,komposisjonsrekkje,composition series,
avvikende observasjon<br>utligger,avvikande observasjon<br>utliggjar,outlier,
nivåmengde,nivåmengd,level set,
odde,odde,odd,
utvidet matrise,utvida matrise,augmented matrix,
absolutt konvergens,absolutt konvergens,absolute convergence,
cosinusrekke,cosinusrekkje,cosine series,
løkke,lykkje,loop,
linearisere,linearisere,linearize,
asymptotisk,asymptotisk,asymptotic,
aritmetisk,aritmetisk,arithmetic,"Ordklasse: adjektiv"
argument,argument,argument,
korrelasjon,korrelasjon,correlation,
platykurtisk,platykurtisk,platykurtic,
maksimalspekter,maksimalspekter,maximal spectrum,
permutere,permutere,permute,
fikspunkt,fikspunkt,fixed point,
nullrom,nullrom,null space,"I mange tilfeller kan termene nullrom og kjerne brukes synonymt. Hva som er vanlig ordvalg, avhenger av kontekst."
forholdstesten,forholdstesten,ratio test,
